[-0.3008723   8.20523453  0.14331916]
[-0.30431145  8.29902554  0.43522581]
[-0.30050591  8.19524288 -0.14314464]
[-0.27183104  8.19424343  0.14310972]
[-0.27500948  8.29005623  0.43470243]
[-0.27149954  8.18424988 -0.1429352 ]
[-0.24292952  8.18514824  0.1429352 ]
[-0.24571462  8.27898788  0.4340744 ]
[-0.2425736   8.17315578 -0.14272578]
[-0.21409483  8.17595196  0.14276069]
[-0.21655266  8.26981258  0.43355107]
[-0.21383309  8.1659565  -0.14258616]
[-0.18537265  8.16865253  0.14262107]
[-0.18745774  8.26053429  0.43302771]
[-0.18514581  8.15865612 -0.14244653]
[-0.15670404  8.16125202  0.14248143]
[-0.15843025  8.25115395  0.43250433]
[-0.1565505   8.15325546 -0.14234182]
[-0.12812078  8.15575123  0.14237674]
[-0.12947051  8.24167061  0.43198097]
[-0.12796372  8.14575386 -0.1422022 ]
[-0.09955338  8.14815044  0.14223711]
[-0.10060333  8.23408508  0.4315623 ]
[-0.09943125  8.13815308 -0.14206259]
[-0.07105808  8.14244938  0.1421324 ]
[-0.07179068  8.22639656  0.43114361]
[-0.07097083  8.13245106 -0.14195786]
[-0.04259331  8.13464928  0.14199278]
[-0.04303293  8.2186079   0.43072489]
[-0.04254096  8.12465096 -0.14181826]
[-0.01418736  8.12874985  0.14188807]
[-0.01433042  8.21072006  0.43030623]
[-0.01416991  8.11875057 -0.14171354]
[0.01418387 8.12674999 0.14185317]
[0.01432345 8.20672512 0.43009692]
[ 0.01416293  8.11475182 -0.14164373]
[0.04252002 8.12065125 0.14174844]
[0.04293881 8.20063305 0.42978287]
[ 0.04246767  8.11065388 -0.14157394]
[0.07081378 8.11445522 0.14164373]
[0.07151181 8.1944418  0.42946887]
[ 0.07072652  8.1044569  -0.14146921]
[0.09908922 8.11015987 0.14157394]
[0.10004211 8.18815041 0.42915484]
[ 0.09894264  8.09816265 -0.1413645 ]
[0.12730412 8.10376549 0.14146921]
[0.12852937 8.18176079 0.42884085]
[ 0.12711567  8.09176826 -0.14125977]
[0.15551399 8.09927368 0.1413994 ]
[0.15697323 8.17527103 0.42852679]
[ 0.15528366  8.08727741 -0.14118998]
